participant_id,age,trial_order,stimulus,response,rt,rt_measure
107033,25.0,1,The soldiers that no diplomats supported have shown any bravery in the controversial war,n,4883.0,keypress
107033,25.0,2,No students that the teachers punished could expect any friendliness from the strict principal,c,8872.0,keypress
107033,25.0,3,The comments that no politicians ignored have caused any bitterness toward the liberal newspapers,n,2888.0,keypress
107033,25.0,4,The comments that no politicians ignored have caused any bitterness toward the liberal newspapers,n,1073.0,keypress
107033,25.0,5,Red is new door the,n,1643.0,keypress
107033,25.0,6,Red is new door the,n,4421.0,keypress
107033,25.0,7,Red is new door the,n,1189.0,keypress
107033,25.0,8,The lawyers that no businessmen respected have ever received criticism for a bad trial,n,6130.0,keypress
107033,25.0,9,No detergents that the housewives used have ever caused damage to the delicate clothing,c,1313.0,keypress
107033,25.0,10,No students that the teachers punished could expect any friendliness from the strict principal,n,1132.0,keypress
107033,25.0,11,The comments that no politicians ignored have caused any bitterness toward the liberal newspapers,n,3480.0,keypress
107033,25.0,12,No detergents that the housewives used have ever caused damage to the delicate clothing,c,3643.0,keypress
107033,25.0,13,No customers that the salesmen assisted have expressed any optimism for a full refund,c,3795.0,keypress
107033,25.0,14,The soldiers that no diplomats supported have shown any bravery in the controversial war,n,1989.0,keypress
107033,25.0,15,No students that the teachers punished could expect any friendliness from the strict principal,n,4747.0,keypress
107033,25.0,16,The new door is red,c,1361.0,keypress
107033,25.0,17,The soldiers that no diplomats supported have shown any bravery in the controversial war,n,2006.0,keypress
107033,25.0,18,The babysitters that no children obeyed have shown any gratitude to the disappointed parents,n,1465.0,keypress
107033,25.0,19,No authors that the critics recommended have received any acknowledgment for a best-selling novel,n,1145.0,keypress
107033,25.0,20,The babysitters that no children obeyed have shown any gratitude to the disappointed parents,n,944.0,keypress
107033,25.0,21,No detergents that the housewives used have ever caused damage to the delicate clothing,c,4939.0,keypress
107033,25.0,22,The lawyers that no businessmen respected have ever received criticism for a bad trial,c,2037.0,keypress
107033,25.0,23,The soldiers that no diplomats supported have shown any bravery in the controversial war,n,17292.0,keypress
107033,25.0,24,No students that the teachers punished could expect any friendliness from the strict principal,n,1473.0,keypress
107033,25.0,25,No detergents that the housewives used have ever caused damage to the delicate clothing,c,2442.0,keypress
107033,25.0,26,No customers that the salesmen assisted have expressed any optimism for a full refund,c,4741.0,keypress
107033,25.0,27,The professors that no students respected have ever wanted negativity in a class debate,n,1317.0,keypress
107033,25.0,28,No students that the teachers punished could expect any friendliness from the strict principal,n,1594.0,keypress
107033,25.0,29,No customers that the salesmen assisted have expressed any optimism for a full refund,c,1928.0,keypress
107033,25.0,30,No detergents that the housewives used have ever caused damage to the delicate clothing,c,854.0,keypress
107033,25.0,31,No customers that the salesmen assisted have expressed any optimism for a full refund,c,22215.0,keypress
107033,25.0,32,No ambassadors that the diplomats consulted have ever seen brutality in the foreign war,c,7397.0,keypress
107033,25.0,33,No ambassadors that the diplomats consulted have ever seen brutality in the foreign war,c,5241.0,keypress
107033,25.0,34,No detergents that the housewives used have ever caused damage to the delicate clothing,c,2212.0,keypress
107033,25.0,35,The comments that no politicians ignored have caused any bitterness toward the liberal newspapers,n,2027.0,keypress
107033,25.0,36,The professors that no students respected have ever wanted negativity in a class debate,n,2767.0,keypress
107033,25.0,37,No authors that the critics recommended have received any acknowledgment for a best-selling novel,c,2936.0,keypress
107033,25.0,38,No students that the teachers punished could expect any friendliness from the strict principal,n,5517.0,keypress
107033,25.0,39,No students that the teachers punished could expect any friendliness from the strict principal,n,779.0,keypress
107033,25.0,40,The professors that no students respected have ever wanted negativity in a class debate,n,1981.0,keypress
107033,25.0,41,The comments that no politicians ignored have caused any bitterness toward the liberal newspapers,n,10594.0,keypress
107033,25.0,42,The lawyers that no businessmen respected have ever received criticism for a bad trial,c,13225.0,keypress
107033,25.0,43,No ambassadors that the diplomats consulted have ever seen brutality in the foreign war,n,1764.0,keypress
107033,25.0,44,No ambassadors that the diplomats consulted have ever seen brutality in the foreign war,n,3632.0,keypress
107033,25.0,45,No ambassadors that the diplomats consulted have ever seen brutality in the foreign war,n,856.0,keypress
107033,25.0,46,The soldiers that no diplomats supported have shown any bravery in the controversial war,n,754.0,keypress
107033,25.0,47,The soldiers that no diplomats supported have shown any bravery in the controversial war,n,1450.0,keypress
107033,25.0,48,No detergents that the housewives used have ever caused damage to the delicate clothing,c,1310.0,keypress
107033,25.0,49,The comments that no politicians ignored have caused any bitterness toward the liberal newspapers,n,1176.0,keypress
107033,25.0,50,The babysitters that no children obeyed have shown any gratitude to the disappointed parents,n,806.0,keypress
107033,25.0,51,No customers that the salesmen assisted have expressed any optimism for a full refund,c,8797.0,keypress
107033,25.0,52,The babysitters that no children obeyed have shown any gratitude to the disappointed parents,n,8627.0,keypress
107033,25.0,53,The babysitters that no children obeyed have shown any gratitude to the disappointed parents,n,2151.0,keypress
107033,25.0,54,The professors that no students respected have ever wanted negativity in a class debate,n,3691.0,keypress
107033,25.0,55,No customers that the salesmen assisted have expressed any optimism for a full refund,c,1459.0,keypress
107033,25.0,56,The comments that no politicians ignored have caused any bitterness toward the liberal newspapers,n,932.0,keypress
107033,25.0,57,The lawyers that no businessmen respected have ever received criticism for a bad trial,n,1634.0,keypress
107033,25.0,58,No authors that the critics recommended have received any acknowledgment for a best-selling novel,n,606.0,keypress
107033,25.0,59,No authors that the critics recommended have received any acknowledgment for a best-selling novel,c,4078.0,keypress
107033,25.0,60,No ambassadors that the diplomats consulted have ever seen brutality in the foreign war,n,2643.0,keypress
107033,25.0,61,The professors that no students respected have ever wanted negativity in a class debate,n,20669.0,keypress
107033,25.0,62,The new door is red,c,2552.0,keypress
107033,25.0,63,No authors that the critics recommended have received any acknowledgment for a best-selling novel,c,3224.0,keypress
107033,25.0,64,The lawyers that no businessmen respected have ever received criticism for a bad trial,n,1347.0,keypress
107033,25.0,65,No students that the teachers punished could expect any friendliness from the strict principal,n,1338.0,keypress
107033,25.0,66,No ambassadors that the diplomats consulted have ever seen brutality in the foreign war,n,1701.0,keypress
107033,25.0,67,The babysitters that no children obeyed have shown any gratitude to the disappointed parents,n,905.0,keypress
107033,25.0,68,The babysitters that no children obeyed have shown any gratitude to the disappointed parents,n,1888.0,keypress
107033,25.0,69,No customers that the salesmen assisted have expressed any optimism for a full refund,c,808.0,keypress
107033,25.0,70,No ambassadors that the diplomats consulted have ever seen brutality in the foreign war,n,667.0,keypress
107033,25.0,71,The professors that no students respected have ever wanted negativity in a class debate,n,11811.0,keypress
107033,25.0,72,Red is new door the,n,1107.0,keypress
107033,25.0,73,The soldiers that no diplomats supported have shown any bravery in the controversial war,n,3123.0,keypress
107033,25.0,74,No ambassadors that the diplomats consulted have ever seen brutality in the foreign war,n,1588.0,keypress
107033,25.0,75,The lawyers that no businessmen respected have ever received criticism for a bad trial,c,4850.0,keypress
107033,25.0,76,No detergents that the housewives used have ever caused damage to the delicate clothing,c,2641.0,keypress
107033,25.0,77,The comments that no politicians ignored have caused any bitterness toward the liberal newspapers,n,1064.0,keypress
107033,25.0,78,The soldiers that no diplomats supported have shown any bravery in the controversial war,n,844.0,keypress
107033,25.0,79,The babysitters that no children obeyed have shown any gratitude to the disappointed parents,n,1618.0,keypress
107033,25.0,80,No customers that the salesmen assisted have expressed any optimism for a full refund,c,1235.0,keypress
107033,25.0,81,No students that the teachers punished could expect any friendliness from the strict principal,c,17281.0,keypress
107033,25.0,82,No authors that the critics recommended have received any acknowledgment for a best-selling novel,c,6289.0,keypress
107033,25.0,83,No authors that the critics recommended have received any acknowledgment for a best-selling novel,c,6174.0,keypress
107033,25.0,84,No customers that the salesmen assisted have expressed any optimism for a full refund,c,6106.0,keypress
107033,25.0,85,No detergents that the housewives used have ever caused damage to the delicate clothing,c,1163.0,keypress
107033,25.0,86,The professors that no students respected have ever wanted negativity in a class debate,n,5716.0,keypress
107033,25.0,87,No detergents that the housewives used have ever caused damage to the delicate clothing,c,905.0,keypress
107033,25.0,88,No students that the teachers punished could expect any friendliness from the strict principal,n,766.0,keypress
107033,25.0,89,No authors that the critics recommended have received any acknowledgment for a best-selling novel,c,2225.0,keypress
107033,25.0,90,The lawyers that no businessmen respected have ever received criticism for a bad trial,n,538.0,keypress
107033,25.0,91,The lawyers that no businessmen respected have ever received criticism for a bad trial,c,13465.0,keypress
107033,25.0,92,The soldiers that no diplomats supported have shown any bravery in the controversial war,n,20074.0,keypress
107033,25.0,93,The comments that no politicians ignored have caused any bitterness toward the liberal newspapers,n,4987.0,keypress
107033,25.0,94,The professors that no students respected have ever wanted negativity in a class debate,n,3072.0,keypress
107033,25.0,95,No authors that the critics recommended have received any acknowledgment for a best-selling novel,c,4987.0,keypress
107033,25.0,96,No authors that the critics recommended have received any acknowledgment for a best-selling novel,c,1324.0,keypress
107033,25.0,97,The new door is red,c,994.0,keypress
107033,25.0,98,The babysitters that no children obeyed have shown any gratitude to the disappointed parents,n,906.0,keypress
107033,25.0,99,No customers that the salesmen assisted have expressed any optimism for a full refund,c,1503.0,keypress
