Recommended Column Name,Description
age,Age of the participant at the time of the experiment.
gender,Self-reported or observed gender identity of the participant.
participant_age_group,Age group label: younger or older
participant_id,Unique identifier assigned to each participant.
phase_id,"Identifier for the experimental phase or block a trial belongs to (e.g., practice, test, recall)."
response,Participant's response
response_corrected,Cleaned / corrected response (spelling normalized).
rt,"Milliseconds elapsed, taken from the raw `time` column. In exp1 and exp2 this is cumulative time since the start of the session -- it increases monotonically within a participant -- NOT the latency of an individual response. Per-response latencies would have to be derived by differencing consecutive values. In exp3 the values are not monotonic and do look like per-trial latencies."
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
stimulus_is_reversed,"In retest phase, is this stimulus reversed (TRUE), or not (FALSE). NA in test phase."
stimulus_left,Word (animal) presented on the left side of the rating screen.
stimulus_pair_id,Unique id of the stimulus pair.
stimulus_right,Word (animal) presented on the right side of the rating screen.
trial_order,Presentation order within the session (0-indexed). The order in which the participant saw this trial.
