trial_order,condition,stimulus,sentence_extraction,comprehension_probe,probe_clause,response,accuracy,rt,participant_id,handedness,gender,first_language,age,other_languages,country_of_residence,rt_measure
1,congruent,"['The', 'MAN', 'that the', 'nurse', 'PHONED', 'left', 'his', 'PILLS', 'at', 'the', 'OFFICE']",object,The nurse left the pills?,main_clause,n,1,1.2531318680003096,001,right,female,English,26,NA,Australia,keypress
2,other,"['The', 'WINE', 'that was', 'FANCY', 'was', 'KEPT', 'in the', 'CELLAR', 'for', 'NEARLY', 'ten', 'YEARS', 'and five', 'MONTHS']",assorted,The wine was fancy?,other,y,1,2.6927643500002887,001,right,female,English,26,NA,Australia,keypress
3,incongruent,"['THE', 'crook', 'that the', 'THIEF', 'warned', 'fled', 'THE', 'town', 'the', 'NEXT', 'morning']",object,The thief fled the town?,main_clause,y,0,3.579832213000373,001,right,female,English,26,NA,Australia,keypress
4,incongruent,"['THE', 'friend', 'that the', 'BRIDE', 'teased', 'told', 'A', 'joke', 'about', 'THE', 'past']",object,The friend teased the bride?,relative_clause,n,1,11.350573824000094,001,right,female,English,26,NA,Australia,keypress
5,incongruent,"['THE', 'niece', 'THAT', 'kissed', 'THE', 'aunt', 'SANG A', 'song', 'FOR THE', 'guests']",subject,The aunt kissed the niece?,relative_clause,y,0,1.5215043919997695,001,right,female,English,26,NA,Australia,keypress
6,incongruent,"['THE', 'priest', 'that the', 'COOK', 'paid', 'signed', 'THE', 'check', 'at', 'THE', 'bank']",object,The cook paid the priest?,relative_clause,n,0,2.891191926999454,001,right,female,English,26,NA,Australia,keypress
7,incongruent,"['THE', 'maid', 'THAT', 'loved', 'THE', 'chef', 'QUIT THE', 'job', 'AT THE', 'house']",subject,The chef loved the maid?,relative_clause,n,1,2.743609536000804,001,right,female,English,26,NA,Australia,keypress
8,incongruent,"['THE', 'prince', 'THAT', 'helped', 'THE', 'girl', 'HAD A', 'head', 'OF BLONDE', 'hair']",subject,The prince had blonde hair?,main_clause,y,1,1.7739194969999517,001,right,female,English,26,NA,Australia,keypress
9,congruent,"['The', 'DAD', 'that', 'KNEW', 'the', 'CHEF', 'had a', 'SON', 'with a', 'LIMP']",subject,The dad had a son with a limp?,main_clause,y,1,1.8584467780001432,001,right,female,English,26,NA,Australia,keypress
10,other,"['The', 'CUP', 'was', 'MADE', 'from green', 'PLASTIC', 'and was', 'FILLED', 'with', 'JUICE']",assorted,The cup was made from plastic?,other,y,1,1.4409162850006396,001,right,female,English,26,NA,Australia,keypress
11,other,"['The', 'GIRL', 'and the', 'BOY', 'that', 'OWNED', 'the', 'HORSE', 'had', 'MUD', 'on their', 'CLOTHES']",assorted,The boy and girl own a horse?,other,y,1,1.3237389290006831,001,right,female,English,26,NA,Australia,keypress
12,congruent,"['The', 'NUN', 'that', 'BLESSED', 'the', 'MONK', 'lit a', 'CANDLE', 'on the', 'TABLE']",subject,The monk lit a candle?,main_clause,n,1,1.8568885610002328,001,right,female,English,26,NA,Australia,keypress
13,incongruent,"['THE', 'kid', 'THAT', 'followed', 'THE', 'dad', 'HAD SOME', 'mud', 'ON HIS', 'shoes']",subject,The kid followed the dad?,relative_clause,y,1,0.9724424899995938,001,right,female,English,26,NA,Australia,keypress
14,other,"['The', 'MAN', 'was very', 'HUNGRY', 'after the', 'MEETING', 'so', 'HAD', 'lunch', 'EARLY']",assorted,The man was hungry?,other,y,1,1.390738665999379,001,right,female,English,26,NA,Australia,keypress
15,congruent,"['The', 'SAILOR', 'that', 'PUSHED', 'the', 'BANKER', 'hurt his', 'FOOT', 'in the', 'BRAWL']",subject,The banker hurt his foot?,main_clause,n,1,1.9912694710001233,001,right,female,English,26,NA,Australia,keypress
16,incongruent,"['THE', 'rod', 'that the', 'PIPE', 'bent', 'had', 'A', 'hole', 'in', 'THE', 'middle']",object,The rod had a hole?,main_clause,n,0,2.392474599000707,001,right,female,English,26,NA,Australia,keypress
17,other,"['The', 'APPLES', 'that', 'THE', 'couple', 'BOUGHT', 'at the', 'MARKET', 'were', 'RED']",assorted,The couple bought some apples?,other,y,1,1.089397296000243,001,right,female,English,26,NA,Australia,keypress
18,other,"['The', 'HAT', 'that was', 'WORN', 'by the', 'BOY', 'with a', 'JACKET', 'was too', 'SMALL', 'for the', 'MAN']",assorted,The jacket was too small?,other,y,0,1.6409057849996316,001,right,female,English,26,NA,Australia,keypress
19,other,"['The', 'DESSERT', 'was', 'SERVED', 'with', 'CUSTARD', 'and', 'FRUIT', 'then', 'THERE', 'was', 'COFFEE']",assorted,The coffee was before dessert?,other,n,1,1.5410453120002785,001,right,female,English,26,NA,Australia,keypress
20,congruent,"['The', 'KNIGHT', 'that the', 'king', 'HELPED', 'sent', 'a', 'GIFT', 'from', 'his', 'CASTLE']",object,The knight helped the king?,relative_clause,y,0,3.462523300000612,001,right,female,English,26,NA,Australia,keypress
21,incongruent,"['THE', 'groom', 'THAT', 'charmed', 'THE', 'aunt', 'RAISED A', 'toast', 'TO THE', 'parents']",subject,The groom charmed the aunt?,relative_clause,n,0,1.5070771780010546,001,right,female,English,26,NA,Australia,keypress
22,congruent,"['The', 'NURSE', 'that the', 'coach', 'BLAMED', 'checked', 'the', 'FILE', 'of', 'the', 'GYMNAST']",object,The coach checked the file?,main_clause,y,0,1.97207981199972,001,right,female,English,26,NA,Australia,keypress
23,incongruent,"['THE', 'bum', 'THAT', 'scared', 'THE', 'cop', 'CROSSED THE', 'street', 'AT THE', 'light']",subject,The bum scared the cop?,relative_clause,y,1,1.0058556290005072,001,right,female,English,26,NA,Australia,keypress
24,other,"['The', 'JOB', 'that was', 'GIVEN', 'was', 'DIFFERENT', 'to', 'WHAT', 'she', 'EXPECTED']",assorted,The job was as expected?,other,n,1,1.4066734080006429,001,right,female,English,26,NA,Australia,keypress
25,other,"['The', 'BOOK', 'that the', 'LADY', 'with a', 'TATTOO', 'had', 'WRITTEN', 'was her', 'BEST', 'book', 'YET']",assorted,The man wrote a book?,other,n,1,1.155120026998702,001,right,female,English,26,NA,Australia,keypress
26,other,"['The', 'BOY', 'who', 'HAD', 'a', 'BIRTHDAY', 'called', 'HIS', 'best', 'FRIEND', 'for a', 'CHAT']",assorted,The friend called the boy?,other,y,0,1.5401511060008488,001,right,female,English,26,NA,Australia,keypress
27,other,"['The', 'CAR', 'that was', 'NEW', 'had', 'JUST', 'been', 'CLEANED', 'by', 'THE', 'old', 'LADY']",assorted,The car was new?,other,y,1,1.607362724000268,001,right,female,English,26,NA,Australia,keypress
28,congruent,"['The', 'GIRL', 'that the', 'nerd', 'THANKED', 'broke', 'the', 'VASE', 'with', 'the', 'FLOWERS']",object,The girl broke the vase?,main_clause,y,1,3.144793702998868,001,right,female,English,26,NA,Australia,keypress
29,other,"['The', 'PIANO', 'was well', 'PLAYED', 'by', 'THE', 'old', 'LADY', 'but', 'IT', 'was', 'NOT', 'in', 'TUNE']",assorted,The piano was well played?,other,y,1,1.9584280569997643,001,right,female,English,26,NA,Australia,keypress
30,incongruent,"['THE', 'boat', 'THAT', 'chased', 'THE', 'yacht', 'MADE A', 'turn', 'AT THE', 'boathouse']",subject,The yacht made a turn?,main_clause,y,0,2.1259672320011305,001,right,female,English,26,NA,Australia,keypress
31,other,"['The', 'GIRL', 'on', 'THE', 'school', 'TRIP', 'saw a', 'FROG', 'and', 'LATER', 'she', 'SAW', 'a', 'MOUSE']",assorted,The girl saw a frog?,other,y,1,1.8245354789996784,001,right,female,English,26,NA,Australia,keypress
32,incongruent,"['THE', 'tradie', 'that the', 'MAN', 'thanked', 'left', 'HIS', 'wallet', 'in', 'THE', 'car']",object,The man left his wallet?,main_clause,n,1,2.2425547360016935,001,right,female,English,26,NA,Australia,keypress
33,congruent,"['The', 'KING', 'that', 'PLEASED', 'the', 'GUEST', 'poured the', 'WINE', 'from the', 'JUG']",subject,The king pleased the guest?,relative_clause,y,1,1.9229160369995952,001,right,female,English,26,NA,Australia,keypress
34,congruent,"['The', 'COP', 'that the', 'spy', 'MET', 'wrote', 'a', 'BOOK', 'about', 'the', 'CASE']",object,The spy wrote a book?,main_clause,n,1,1.691165969999929,001,right,female,English,26,NA,Australia,keypress
35,other,"['The', 'CAT', 'chased the', 'BIRD', 'but', 'IT', 'flew', 'AWAY', 'into the', 'SUNSET']",assorted,The cat caught the bird?,other,n,1,1.9083050850003929,001,right,female,English,26,NA,Australia,keypress
36,congruent,"['The', 'FOX', 'that the', 'wolf', 'CHASED', 'hurt', 'its', 'PAWS', 'on', 'the', 'WAY']",object,The wolf chased the fox?,relative_clause,y,1,1.738927607999358,001,right,female,English,26,NA,Australia,keypress
37,incongruent,"['THE', 'car', 'that the', 'TRUCK', 'pulled', 'had', 'A', 'scratch', 'on', 'THE', 'door']",object,The truck pulled the car?,relative_clause,y,1,1.1568316140001116,001,right,female,English,26,NA,Australia,keypress
38,incongruent,"['THE', 'boss', 'that the', 'CLERK', 'mocked', 'had', 'A', 'crush', 'on', 'THE', 'intern']",object,The clerk had a crush?,main_clause,n,1,1.105062900998746,001,right,female,English,26,NA,Australia,keypress
39,incongruent,"['THE', 'guy', 'THAT', 'thanked', 'THE', 'judge', 'LEFT THE', 'room', 'WITH A', 'smile']",subject,The judge left the room?,main_clause,n,1,0.9723888070002432,001,right,female,English,26,NA,Australia,keypress
40,incongruent,"['THE', 'dean', 'that the', 'GUARD', 'heard', 'made', 'A', 'call', 'about', 'THE', 'matter']",object,The dean made a call?,main_clause,y,1,1.9918057169998065,001,right,female,English,26,NA,Australia,keypress
41,other,"['The', 'COLOUR', 'of the', 'HOUSE', 'was', 'BRIGHTER', 'than the', 'MEN', 'who travelled', 'EXPECTED']",assorted,The men were colourfully dressed?,other,n,1,1.6239080099985586,001,right,female,English,26,NA,Australia,keypress
42,incongruent,"['THE', 'fruit', 'that the', 'CAKE', 'squashed', 'made', 'A', 'mess', 'in', 'THE', 'bag']",object,The fruit made a mess?,main_clause,n,0,1.8911824930000876,001,right,female,English,26,NA,Australia,keypress
43,congruent,"['The', 'BUG', 'that the', 'ant', 'ATTACKED', 'was', 'as', 'BIG', 'as', 'a', 'COIN']",object,The ant attacked the bug?,relative_clause,y,1,1.2224953150016518,001,right,female,English,26,NA,Australia,keypress
44,other,"['The', 'FISH', 'was', 'CAUGHT', 'by the', 'GIRL', 'on the', 'BOAT', 'on a', 'FRIDAY']",assorted,The fish was caught by the boy?,other,n,1,1.1564886779997323,001,right,female,English,26,NA,Australia,keypress
45,congruent,"['The', 'COUNT', 'that', 'KNEW', 'the', 'QUEEN', 'owned a', 'CASTLE', 'by the', 'LAKE']",subject,The count knew the queen?,relative_clause,y,1,2.0087710400002834,001,right,female,English,26,NA,Australia,keypress
46,other,"['The', 'BOX', 'was', 'MADE', 'from', 'WOOD', 'and was', 'FULL', 'of', 'THINGS', 'that', 'SHINED']",assorted,The box was shiny?,other,n,1,1.5899833519997628,001,right,female,English,26,NA,Australia,keypress
47,incongruent,"['THE', 'thug', 'THAT', 'saw', 'THE', 'man', 'HAD A', 'hat', 'ON HIS', 'head']",subject,The thug had a hat on his head?,main_clause,y,1,1.272900944999492,001,right,female,English,26,NA,Australia,keypress
48,incongruent,"['THE', 'cat', 'that the', 'DOG', 'fought', 'licked', 'ITS', 'wounds', 'in', 'THE', 'corner']",object,The cat fought the dog?,relative_clause,n,1,3.1780524169989803,001,right,female,English,26,NA,Australia,keypress
49,congruent,"['The', 'BOY', 'that the', 'girl', 'HELPED', 'got', 'an', 'A', 'on', 'the', 'TEST']",object,The boy got an A?,main_clause,y,1,1.1397082160001446,001,right,female,English,26,NA,Australia,keypress
50,congruent,"['The', 'GUEST', 'that', 'KISSED', 'the', 'HOST', 'brought a', 'CAKE', 'to the', 'PARTY']",subject,The guest brought a cake?,main_clause,d,0,1.7217050449999078,001,right,female,English,26,NA,Australia,keypress
51,congruent,"['The', 'COOK', 'that the', 'maid', 'HUGGED', 'had', 'a', 'TEAR', 'on', 'her', 'CHEEK']",object,The cook hugged the maid?,relative_clause,n,1,1.774184616000639,001,right,female,English,26,NA,Australia,keypress
52,congruent,"['The', 'CLERK', 'that the', 'boss', 'LIKED', 'had', 'a', 'DESK', 'by', 'the', 'WINDOW']",object,The clerk liked the boss?,relative_clause,n,1,2.4932684510004037,001,right,female,English,26,NA,Australia,keypress
53,other,"['The', 'GIRL', 'kicked the', 'BALL', 'into the', 'WINDOW', 'but it', 'DID', 'not', 'BREAK']",assorted,The girl kicked the ball?,other,y,1,0.9716894749999484,001,right,female,English,26,NA,Australia,keypress
54,other,"['The', 'BIKE', 'that was', 'YELLOW', 'and', 'SHINY', 'belonged', 'TO', 'the', 'BOY', 'with the', 'HAT']",assorted,The bike was shiny?,other,y,1,1.2564897410011326,001,right,female,English,26,NA,Australia,keypress
55,congruent,"['The', 'THIEF', 'that', 'SAW', 'the', 'GUARD', 'had a', 'GUN', 'in his', 'HOLSTER']",subject,The guard saw the thief?,relative_clause,y,0,2.5757360299994616,001,right,female,English,26,NA,Australia,keypress
56,other,"['The', 'MAN', 'who was', 'SHORT', 'gave his', 'WIFE', 'some red', 'CANDLES', 'for her', 'BIRTHDAY']",assorted,The man was short?,other,y,1,1.5236554660004913,001,right,female,English,26,NA,Australia,keypress
57,other,"['The', 'DESK', 'was', 'NEW', 'but', 'DUSTY', 'and', 'COVERED', 'with old', 'BOOKS']",assorted,The desk was old?,other,y,0,0.8044213590001164,001,right,female,English,26,NA,Australia,keypress
58,congruent,"['The', 'BLOKE', 'that', 'HELPED', 'the', 'MUM', 'gave a', 'GIFT', 'to say', 'THANKS']",subject,The mum helped the bloke?,relative_clause,y,0,2.1921008310000616,001,right,female,English,26,NA,Australia,keypress
59,incongruent,"['THE', 'whale', 'THAT', 'bit', 'THE', 'shark', 'WON THE', 'fight', 'IN THE', 'end']",subject,The whale won the fight?,main_clause,y,1,1.223031350000383,001,right,female,English,26,NA,Australia,keypress
60,incongruent,"['THE', 'dean', 'that the', 'BOY', 'called', 'had', 'A', 'voice', 'full', 'OF', 'anger']",object,The boy called the dean?,relative_clause,y,1,1.1891410749994975,001,right,female,English,26,NA,Australia,keypress
61,congruent,"['The', 'SHELF', 'that', 'BUMPED', 'the', 'PIANO', 'had some', 'DUST', 'on its', 'TOP']",subject,The shelf bumped the piano?,relative_clause,y,1,1.6234794720003265,001,right,female,English,26,NA,Australia,keypress
62,other,"['The', 'DOG', 'that', 'BARKED', 'is very', 'BIG', 'and very', 'FRIENDLY', 'but', 'DOESN’T', 'like', 'CATS']",assorted,The dog is very fluffy?,other,n,1,1.2708677139999054,001,right,female,English,26,NA,Australia,keypress
63,congruent,"['The', 'DANCER', 'that the', 'guy', 'LIKED', 'was', 'a', 'CHEF', 'in', 'the', 'CITY']",object,The dancer was a chef?,main_clause,y,1,1.323101558999042,001,right,female,English,26,NA,Australia,keypress
64,congruent,"['The', 'CHIEF', 'that', 'THANKED', 'the', 'GIRL', 'was too', 'LATE', 'for the', 'BUS']",subject,The chief was too late?,main_clause,y,1,1.523844287001339,001,right,female,English,26,NA,Australia,keypress
65,congruent,"['The', 'TRUCK', 'that the', 'car', 'BUMPED', 'had', 'a', 'MAN', 'at', 'the', 'WHEEL']",object,The car bumped the truck?,relative_clause,y,1,1.7239205930000026,001,right,female,English,26,NA,Australia,keypress
