participant_id,age,gender,clinical_diagnoses,country_of_residence,item_id,stimulus,condition,response
1,33,female,none,germany,0,"Im Winter hüllt sich die Welt in kalten Schnee. Der Winter ist kalt, der Schnee ist weiß. Die Natur im kalten Winter ist in weißen Schnee gehüllt. Ein Spaziergang durch den weißen Schnee ist kalt, der kalte Winter allgegenwärtig. Der kalte Winter hüllt die Natur in weißen Schnee. Der Winter hüllt die Welt in eine weiße Schneedecke, die kalte Schneedecke leuchtet weiß. Die Kälte des Schnees im Winter umhüllt die Natur, während man durch den Schnee spaziert. Weißer Winter, die Zeit der weißen Kälte, des weißen Schnees und der kalten Stille, die die Welt in eine weiße, kalte Schneedecke hüllt.",boredom,6
1,33,female,none,germany,1,"Im Winter hüllt sich die Welt in kalten Schnee. Der Winter ist kalt, der Schnee ist weiß. Die Natur im kalten Winter ist in weißen Schnee gehüllt. Ein Spaziergang durch den weißen Schnee ist kalt, der kalte Winter allgegenwärtig. Der kalte Winter hüllt die Natur in weißen Schnee. Der Winter hüllt die Welt in eine weiße Schneedecke, die kalte Schneedecke leuchtet weiß. Die Kälte des Schnees im Winter umhüllt die Natur, während man durch den Schnee spaziert. Weißer Winter, die Zeit der weißen Kälte, des weißen Schnees und der kalten Stille, die die Welt in eine weiße, kalte Schneedecke hüllt.",information,2
1,33,female,none,germany,2,"Im Winter hüllt sich die Welt in kalten Schnee. Der Winter ist kalt, der Schnee ist weiß. Die Natur im kalten Winter ist in weißen Schnee gehüllt. Ein Spaziergang durch den weißen Schnee ist kalt, der kalte Winter allgegenwärtig. Der kalte Winter hüllt die Natur in weißen Schnee. Der Winter hüllt die Welt in eine weiße Schneedecke, die kalte Schneedecke leuchtet weiß. Die Kälte des Schnees im Winter umhüllt die Natur, während man durch den Schnee spaziert. Weißer Winter, die Zeit der weißen Kälte, des weißen Schnees und der kalten Stille, die die Welt in eine weiße, kalte Schneedecke hüllt.",valence,2
1,33,female,none,germany,3,"Im Winter hüllt sich die Welt in kalten Schnee. Der Winter ist kalt, der Schnee ist weiß. Die Natur im kalten Winter ist in weißen Schnee gehüllt. Ein Spaziergang durch den weißen Schnee ist kalt, der kalte Winter allgegenwärtig. Der kalte Winter hüllt die Natur in weißen Schnee. Der Winter hüllt die Welt in eine weiße Schneedecke, die kalte Schneedecke leuchtet weiß. Die Kälte des Schnees im Winter umhüllt die Natur, während man durch den Schnee spaziert. Weißer Winter, die Zeit der weißen Kälte, des weißen Schnees und der kalten Stille, die die Welt in eine weiße, kalte Schneedecke hüllt.",arousal,1
1,33,female,none,germany,4,"Im Winter hüllt sich die Welt in kalten Schnee. Der Winter ist kalt, der Schnee ist weiß. Die Natur im kalten Winter ist in weißen Schnee gehüllt. Ein Spaziergang durch den weißen Schnee ist kalt, der kalte Winter allgegenwärtig. Der kalte Winter hüllt die Natur in weißen Schnee. Der Winter hüllt die Welt in eine weiße Schneedecke, die kalte Schneedecke leuchtet weiß. Die Kälte des Schnees im Winter umhüllt die Natur, während man durch den Schnee spaziert. Weißer Winter, die Zeit der weißen Kälte, des weißen Schnees und der kalten Stille, die die Welt in eine weiße, kalte Schneedecke hüllt.",creativity,1
1,33,female,none,germany,5,"Im Winter erstarrt die Welt unter Schnee. Die Luft ist kalt, der Schnee macht alles weiß. Die Natur ruht stumm, kahle Bäume sind in weißen Schnee gehüllt Ein Spaziergang durch die weißen Wälder ist ein kaltes Erlebnis, die kalte Stille allgegenwärtig. Der kalte Winter hüllt die verschneite Natur in weißen Glanz. Der Winter hüllt die Welt in eine weiße Schneedecke, die Augen leuchten vor Kälte und Schnee. Die weiße Kälte durchdringt jeden Atemzug, während man sich in dicke Decken hüllt. Winter, die Zeit der weißen Kälte, des weißen Schnees und der Stille, die die Welt in eine weiße Schneedecke hüllt.",boredom,6
1,33,female,none,germany,6,"Im Winter erstarrt die Welt unter Schnee. Die Luft ist kalt, der Schnee macht alles weiß. Die Natur ruht stumm, kahle Bäume sind in weißen Schnee gehüllt Ein Spaziergang durch die weißen Wälder ist ein kaltes Erlebnis, die kalte Stille allgegenwärtig. Der kalte Winter hüllt die verschneite Natur in weißen Glanz. Der Winter hüllt die Welt in eine weiße Schneedecke, die Augen leuchten vor Kälte und Schnee. Die weiße Kälte durchdringt jeden Atemzug, während man sich in dicke Decken hüllt. Winter, die Zeit der weißen Kälte, des weißen Schnees und der Stille, die die Welt in eine weiße Schneedecke hüllt.",information,2
1,33,female,none,germany,7,"Im Winter erstarrt die Welt unter Schnee. Die Luft ist kalt, der Schnee macht alles weiß. Die Natur ruht stumm, kahle Bäume sind in weißen Schnee gehüllt Ein Spaziergang durch die weißen Wälder ist ein kaltes Erlebnis, die kalte Stille allgegenwärtig. Der kalte Winter hüllt die verschneite Natur in weißen Glanz. Der Winter hüllt die Welt in eine weiße Schneedecke, die Augen leuchten vor Kälte und Schnee. Die weiße Kälte durchdringt jeden Atemzug, während man sich in dicke Decken hüllt. Winter, die Zeit der weißen Kälte, des weißen Schnees und der Stille, die die Welt in eine weiße Schneedecke hüllt.",valence,2
1,33,female,none,germany,8,"Im Winter erstarrt die Welt unter Schnee. Die Luft ist kalt, der Schnee macht alles weiß. Die Natur ruht stumm, kahle Bäume sind in weißen Schnee gehüllt Ein Spaziergang durch die weißen Wälder ist ein kaltes Erlebnis, die kalte Stille allgegenwärtig. Der kalte Winter hüllt die verschneite Natur in weißen Glanz. Der Winter hüllt die Welt in eine weiße Schneedecke, die Augen leuchten vor Kälte und Schnee. Die weiße Kälte durchdringt jeden Atemzug, während man sich in dicke Decken hüllt. Winter, die Zeit der weißen Kälte, des weißen Schnees und der Stille, die die Welt in eine weiße Schneedecke hüllt.",arousal,1
1,33,female,none,germany,9,"Im Winter erstarrt die Welt unter Schnee. Die Luft ist kalt, der Schnee macht alles weiß. Die Natur ruht stumm, kahle Bäume sind in weißen Schnee gehüllt Ein Spaziergang durch die weißen Wälder ist ein kaltes Erlebnis, die kalte Stille allgegenwärtig. Der kalte Winter hüllt die verschneite Natur in weißen Glanz. Der Winter hüllt die Welt in eine weiße Schneedecke, die Augen leuchten vor Kälte und Schnee. Die weiße Kälte durchdringt jeden Atemzug, während man sich in dicke Decken hüllt. Winter, die Zeit der weißen Kälte, des weißen Schnees und der Stille, die die Welt in eine weiße Schneedecke hüllt.",creativity,2
